plot_id,sample_id,lon,lat,email,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,pl_plotid,pl_plot_id,pl_strata_coded_year,pl_o_lc,pl_o_change,pl_o_ch_type,pl_o_deg_driver,pl_o_def_type,pl_o_yrchange,pl_confidence,pl_final,"Land cover, 2019",Change?,Change type?,Driver of degradation?,Deforestation type,Confidence,Year of change
140797695,568563915,105.2334584,16.98368351,j.ferrand@forestcarbon.com,false,2021-06-22 08:03,242.3 secs,Planet NICFI Public,,POINT(105.2334584 16.98368351),68,139377990,0,forest,yes,forest degradation,selective logging,,2010,medium,degradation,forest,no,,,,low,
140797696,568563916,106.2251984,17.01817882,j.ferrand@forestcarbon.com,false,2021-06-22 08:04,56.1 secs,Planet NICFI Public,,POINT(106.2251984 17.01817882),69,139377991,0,forest,yes,forest degradation,shifting agriculture,,2011,high,degradation,forest,no,,,,low,
140797697,568563917,104.8036145,16.84947521,j.ferrand@forestcarbon.com,false,2021-06-22 08:07,194.0 secs,Planet NICFI Public,,POINT(104.8036145 16.84947521),167,139430122,0,forest,yes,forest degradation,shifting agriculture,,2010,medium,degradation,forest,yes,forest degradation,shifting agriculture,,low,2018
140797698,568563918,106.3187131,16.72658567,j.ferrand@forestcarbon.com,false,2021-06-22 08:15,455.1 secs,FCDM 2015 - 2019,,POINT(106.3187131 16.72658567),173,139430128,0,forest,yes,forest degradation,shifting agriculture,,2013,high,degradation,forest,no,,,,low,
140797699,568563919,106.1411161,16.96185445,j.ferrand@forestcarbon.com,false,2021-06-22 08:16,47.0 secs,Planet NICFI Public,,POINT(106.1411161 16.96185445),174,139430129,0,forest,yes,forest degradation,shifting agriculture,,2012,high,degradation,forest,no,,,,low,
140797700,568563920,105.2342669,16.89070788,j.ferrand@forestcarbon.com,false,2021-06-22 08:18,148.9 secs,Planet NICFI Public,,POINT(105.2342669 16.89070788),246,140738389,0,non-forest,yes,forest degradation,selective logging,,2019,medium,degradation,forest,no,,,,low,
140797701,568563921,105.773256,16.66460192,j.ferrand@forestcarbon.com,false,2021-06-22 08:19,50.3 secs,Planet NICFI Public,,POINT(105.773256 16.66460192),250,140738393,0,non-forest,yes,forest degradation,selective logging,,2019,high,degradation,forest,no,,,,low,
140797702,568563922,105.8357788,16.40723459,j.ferrand@forestcarbon.com,false,2021-06-22 08:20,59.7 secs,Planet NICFI Public,,POINT(105.8357788 16.40723459),251,140738394,0,non-forest,yes,forest degradation,selective logging,,2016,high,degradation,forest,no,,,,medium,
140797703,568563923,105.6538699,15.9439734,j.ferrand@forestcarbon.com,false,2021-06-22 08:22,102.8 secs,Planet NICFI Public,,POINT(105.6538699 15.9439734),253,140738396,0,non-forest,yes,forest degradation,selective logging,,2019,low,degradation,forest,yes,forest degradation,other,,low,2019
140797704,568563924,104.8475421,16.72658567,j.ferrand@forestcarbon.com,false,2021-06-22 08:23,56.0 secs,Planet NICFI Public,,POINT(104.8475421 16.72658567),258,140738401,0,non-forest,yes,forest degradation,selective logging,,2013,high,degradation,forest,no,,,,medium,
140797705,568563925,105.7371437,16.41531943,j.ferrand@forestcarbon.com,false,2021-06-22 08:25,120.0 secs,Planet NICFI Public,,POINT(105.7371437 16.41531943),260,140738403,0,non-forest,yes,forest degradation,other,,2019,low,degradation,forest,no,,,,low,
140797706,568563926,105.6118288,16.67726817,j.ferrand@forestcarbon.com,false,2021-06-22 08:27,133.3 secs,Planet NICFI Public,,POINT(105.6118288 16.67726817),268,140738411,0,forest,yes,forest degradation,other,,2019,high,degradation,forest,yes,forest degradation,other,,low,2019
