Project,email,flagged,pl_plotid,pl_plot_id,pl_final,"Land cover, 2019",Change?,Change type?,Driver of degradation?,Deforestation type,Confidence,Year of change
omiss_ever,j.ferrand@forestcarbon.com,FALSE,115,139378037,degradation,forest,no,,,,low,
omiss_ever,j.ferrand@forestcarbon.com,FALSE,116,139378038,degradation,non-forest,yes,forest loss,,agriculture,medium,2013
omiss_ever,j.ferrand@forestcarbon.com,FALSE,118,139378040,degradation,forest,no,,,,low,
omiss_ever,j.ferrand@forestcarbon.com,FALSE,119,139378041,degradation,forest,no,,,,low,
omiss_mixed,j.ferrand@forestcarbon.com,FALSE,50,139377972,degradation,forest,yes,forest degradation,shifting agriculture,,low,2018
omiss_mixed,j.ferrand@forestcarbon.com,FALSE,52,139377974,degradation,forest,no,,,,medium,
omiss_mixed,j.ferrand@forestcarbon.com,FALSE,53,139377975,degradation,forest,no,,,,low,
omiss_mixed,j.ferrand@forestcarbon.com,FALSE,54,139377976,degradation,forest,no,,,,low,
omiss_mixed,j.ferrand@forestcarbon.com,FALSE,57,139377979,degradation,forest,yes,forest degradation,selective logging,,medium,2018
omiss_mixed,j.ferrand@forestcarbon.com,FALSE,63,139377985,degradation,forest,no,,,,low,
omiss_mixed,j.ferrand@forestcarbon.com,FALSE,64,139377986,degradation,forest,yes,forest degradation,selective logging,,medium,2018
omiss_mixed,j.ferrand@forestcarbon.com,FALSE,65,139377987,degradation,forest,no,,,,medium,
omiss_mixed,j.ferrand@forestcarbon.com,FALSE,66,139377988,degradation,forest,no,,,,low,
omiss_mixed,j.ferrand@forestcarbon.com,FALSE,67,139377989,degradation,forest,no,,,,low,
omiss_mixed,j.ferrand@forestcarbon.com,FALSE,68,139377990,degradation,forest,no,,,,low,
omiss_mixed,j.ferrand@forestcarbon.com,FALSE,69,139377991,degradation,forest,no,,,,low,
omiss_mixed,j.ferrand@forestcarbon.com,FALSE,167,139430122,degradation,forest,yes,forest degradation,shifting agriculture,,low,2018
omiss_mixed,j.ferrand@forestcarbon.com,FALSE,173,139430128,degradation,forest,no,,,,low,
omiss_mixed,j.ferrand@forestcarbon.com,FALSE,174,139430129,degradation,forest,no,,,,low,
omiss_mixed,j.ferrand@forestcarbon.com,FALSE,246,140738389,degradation,forest,no,,,,low,
omiss_mixed,j.ferrand@forestcarbon.com,FALSE,250,140738393,degradation,forest,no,,,,low,
omiss_mixed,j.ferrand@forestcarbon.com,FALSE,251,140738394,degradation,forest,no,,,,medium,
omiss_mixed,j.ferrand@forestcarbon.com,FALSE,253,140738396,degradation,forest,yes,forest degradation,other,,low,2019
omiss_mixed,j.ferrand@forestcarbon.com,FALSE,258,140738401,degradation,forest,no,,,,medium,
omiss_mixed,j.ferrand@forestcarbon.com,FALSE,260,140738403,degradation,forest,no,,,,low,
omiss_mixed,j.ferrand@forestcarbon.com,FALSE,268,140738411,degradation,forest,yes,forest degradation,other,,low,2019
